"al_albumid","al_albumname","al_artistid","al_releasedate"
1,"albumName1",1142,"2003-08-15"
2,"albumName2",458,"2053-08-14"
3,"albumName3",824,"2060-02-18"
4,"albumName4",4697,"2019-01-20"
5,"albumName5",1331,"1972-11-02"
6,"albumName6",526,"2063-11-27"
7,"albumName7",2664,"1983-04-16"
8,"albumName8",693,"1974-10-11"
9,"albumName9",4605,"2018-09-03"
10,"albumName10",1773,"2068-11-08"
11,"albumName11",50,"2055-05-17"
12,"albumName12",583,"2068-05-02"
13,"albumName13",4029,"2061-05-09"
14,"albumName14",4698,"1972-07-28"
15,"albumName15",17,"2063-06-03"
16,"albumName16",1687,"2025-06-24"
17,"albumName17",3065,"2022-11-04"
18,"albumName18",4729,"2020-04-16"
19,"albumName19",2622,"2015-09-11"
20,"albumName20",1237,"2000-04-16"
21,"albumName21",2567,"2018-04-09"
22,"albumName22",1347,"2018-11-03"
23,"albumName23",1527,"1988-05-07"
24,"albumName24",196,"2004-09-28"
25,"albumName25",100,"2054-07-06"
26,"albumName26",278,"1972-06-25"
27,"albumName27",4400,"2052-10-09"
28,"albumName28",1771,"2067-07-08"
29,"albumName29",4618,"2067-02-08"
30,"albumName30",3800,"2000-10-20"
31,"albumName31",589,"2022-09-08"
32,"albumName32",4847,"2003-01-10"
33,"albumName33",2066,"2012-02-01"
34,"albumName34",409,"1989-03-06"
35,"albumName35",3430,"2011-11-21"
36,"albumName36",3559,"2019-06-27"
37,"albumName37",2964,"1984-02-28"
38,"albumName38",2980,"1981-01-04"
39,"albumName39",2687,"1974-10-01"
40,"albumName40",1840,"2020-08-04"
41,"albumName41",4386,"1993-05-28"
42,"albumName42",776,"2054-08-23"
43,"albumName43",1213,"2001-12-21"
44,"albumName44",782,"2061-08-22"
45,"albumName45",3940,"2069-11-16"
46,"albumName46",3306,"2008-11-19"
47,"albumName47",4812,"2023-08-18"
48,"albumName48",2260,"2004-07-08"
49,"albumName49",3071,"1974-09-26"
50,"albumName50",1433,"2051-09-27"
51,"albumName51",3676,"1976-02-25"
52,"albumName52",3890,"2067-04-12"
53,"albumName53",757,"2013-11-03"
54,"albumName54",3002,"1981-09-26"
55,"albumName55",510,"2053-06-03"
56,"albumName56",73,"2008-07-05"
57,"albumName57",2032,"2009-02-19"
58,"albumName58",88,"2011-08-13"
59,"albumName59",1685,"2011-11-21"
60,"albumName60",4883,"1982-12-28"
61,"albumName61",1763,"1975-04-15"
62,"albumName62",2399,"2062-05-24"
63,"albumName63",1873,"1974-04-28"
64,"albumName64",2855,"2011-10-11"
65,"albumName65",2395,"2057-04-17"
66,"albumName66",3629,"1990-01-18"
67,"albumName67",345,"2001-06-13"
68,"albumName68",4404,"2018-12-24"
69,"albumName69",1517,"1976-06-14"
70,"albumName70",906,"2051-02-13"
71,"albumName71",291,"1985-01-15"
72,"albumName72",3490,"1981-04-06"
73,"albumName73",4540,"1972-02-26"
74,"albumName74",1226,"1997-04-15"
75,"albumName75",1157,"2003-05-24"
76,"albumName76",2878,"2005-06-13"
77,"albumName77",1688,"2061-07-25"
78,"albumName78",1991,"2000-09-28"
79,"albumName79",1221,"1976-04-28"
80,"albumName80",2207,"2065-12-01"
81,"albumName81",2954,"1997-12-17"
82,"albumName82",3935,"1982-02-14"
83,"albumName83",1942,"2051-01-22"
84,"albumName84",1499,"2052-01-20"
85,"albumName85",2964,"2009-03-19"
86,"albumName86",2332,"2014-08-08"
87,"albumName87",3241,"1988-03-15"
88,"albumName88",1586,"1977-03-10"
89,"albumName89",51,"2065-04-21"
90,"albumName90",857,"1977-05-22"
91,"albumName91",2956,"2024-08-20"
92,"albumName92",3686,"2007-03-14"
93,"albumName93",800,"1991-12-14"
94,"albumName94",4315,"2015-05-08"
95,"albumName95",4598,"1982-07-09"
96,"albumName96",4719,"2059-07-12"
97,"albumName97",1208,"2057-02-11"
98,"albumName98",4679,"2023-12-02"
99,"albumName99",1412,"2066-01-13"
100,"albumName100",713,"1990-05-04"
101,"albumName101",2722,"2021-04-23"
102,"albumName102",3076,"1996-11-02"
103,"albumName103",4275,"2021-01-04"
104,"albumName104",4335,"2011-09-13"
105,"albumName105",2431,"2018-11-05"
106,"albumName106",2468,"2014-01-09"
107,"albumName107",4675,"2005-02-13"
108,"albumName108",2937,"2013-02-03"
109,"albumName109",1572,"1976-03-20"
110,"albumName110",1054,"2013-02-17"
111,"albumName111",2276,"1987-12-02"
112,"albumName112",369,"1999-10-07"
113,"albumName113",3197,"2057-11-06"
114,"albumName114",3997,"2015-07-18"
115,"albumName115",705,"1991-05-23"
116,"albumName116",941,"2006-01-03"
117,"albumName117",3973,"1985-08-16"
118,"albumName118",3785,"1985-03-24"
119,"albumName119",824,"1975-03-14"
120,"albumName120",1383,"2003-10-16"
121,"albumName121",2621,"2064-08-21"
122,"albumName122",295,"1977-01-13"
123,"albumName123",4248,"1987-08-03"
124,"albumName124",1791,"2006-12-14"
125,"albumName125",325,"2024-04-20"
126,"albumName126",4722,"2058-12-03"
127,"albumName127",1821,"2000-01-26"
128,"albumName128",4337,"2003-05-09"
129,"albumName129",4380,"2013-04-23"
130,"albumName130",3041,"1973-08-09"
131,"albumName131",3556,"2062-06-23"
132,"albumName132",3761,"2006-11-18"
133,"albumName133",806,"1980-03-11"
134,"albumName134",229,"1970-12-16"
135,"albumName135",3129,"1992-04-02"
136,"albumName136",939,"1981-12-05"
137,"albumName137",4724,"2007-12-17"
138,"albumName138",800,"1990-06-13"
139,"albumName139",2166,"2009-09-13"
140,"albumName140",3202,"1982-12-22"
141,"albumName141",1018,"1991-06-28"
142,"albumName142",1190,"1991-01-24"
143,"albumName143",3430,"2063-03-17"
144,"albumName144",4117,"2012-09-15"
145,"albumName145",1496,"2060-12-06"
146,"albumName146",3,"2000-02-23"
147,"albumName147",4205,"2055-02-09"
148,"albumName148",2192,"2015-07-22"
149,"albumName149",1352,"2019-07-18"
150,"albumName150",365,"1995-01-18"
151,"albumName151",2782,"1982-12-27"
152,"albumName152",4521,"2060-03-28"
