"a_artistid","a_artistname","a_country","a_genre","a_userid"
1,"artistName1","CANADA","Jazz",1
2,"artistName2","USA","Classical",5
3,"artistName3","CANADA","Electronic",6
4,"artistName4","CHINA","Pop",7
5,"artistName5","RUSSIA","Rock",9
6,"artistName6","CHINA","Metal",11
7,"artistName7","CANADA","Hip Hop",15
8,"artistName8","CANADA","Rock",19
9,"artistName9","MEXICO","Reggae",20
10,"artistName10","CANADA","Pop",22
11,"artistName11","CANADA","Hip Hop",24
12,"artistName12","CHINA","Rock",27
13,"artistName13","CANADA","Jazz",29
14,"artistName14","GERMANY","Classical",30
15,"artistName15","CHINA","Classical",34
16,"artistName16","USA","Pop",36
17,"artistName17","CHINA","Jazz",38
18,"artistName18","CHINA","Blues",41
19,"artistName19","CHINA","Country",43
20,"artistName20","CHINA","Pop",44
21,"artistName21","CHINA","Rock",45
22,"artistName22","USA","Pop",47
23,"artistName23","CANADA","Rock",50
24,"artistName24","GERMANY","Rock",52
25,"artistName25","AUSTRALIA","Electronic",55
26,"artistName26","MEXICO","Blues",57
27,"artistName27","CANADA","Metal",60
28,"artistName28","AUSTRALIA","Metal",61
29,"artistName29","RUSSIA","Blues",64
30,"artistName30","GERMANY","Reggae",65
31,"artistName31","GERMANY","Metal",70
32,"artistName32","MEXICO","Pop",71
33,"artistName33","USA","Reggae",82
34,"artistName34","AUSTRALIA","Reggae",84
35,"artistName35","GERMANY","Blues",87
36,"artistName36","AUSTRALIA","Jazz",88
37,"artistName37","USA","Classical",90
38,"artistName38","RUSSIA","Rock",91
39,"artistName39","CHINA","Classical",92
40,"artistName40","CHINA","Reggae",93
41,"artistName41","AUSTRALIA","Hip Hop",95
42,"artistName42","CHINA","Country",96
43,"artistName43","AUSTRALIA","Reggae",98
44,"artistName44","AUSTRALIA","Metal",99
45,"artistName45","AUSTRALIA","Pop",100
46,"artistName46","GERMANY","Blues",101
47,"artistName47","RUSSIA","Country",103
48,"artistName48","AUSTRALIA","Blues",104
49,"artistName49","AUSTRALIA","Metal",105
50,"artistName50","CANADA","Hip Hop",106
51,"artistName51","MEXICO","Metal",109
52,"artistName52","AUSTRALIA","Blues",110
53,"artistName53","RUSSIA","Pop",111
54,"artistName54","CANADA","Blues",114
55,"artistName55","CANADA","Blues",121
56,"artistName56","CHINA","Electronic",123
57,"artistName57","CHINA","Classical",125
58,"artistName58","CANADA","Rock",126
59,"artistName59","CHINA","Blues",127
60,"artistName60","USA","Jazz",132
61,"artistName61","MEXICO","Hip Hop",133
62,"artistName62","CHINA","Metal",134
63,"artistName63","CHINA","Metal",135
