"l_userid","l_songid"
8509,18428
9499,49248
8273,10949
1504,4993
9697,31214
5275,25650
5434,17723
2160,5400
4118,34295
7737,23652
7308,38043
247,31030
9020,15929
6506,34073
7563,5217
7620,41132
8320,3144
1447,17838
7035,42246
5858,2763
9678,6076
6992,48976
8824,17253
5307,25946
8273,20505
6062,25262
9895,15455
9806,44646
5089,32971
1369,1416
1988,32565
9276,11689
1376,13438
6600,12931
5021,41575
7329,5222
2279,44234
8995,25424
8764,10786
7671,45204
9803,15926
6011,19969
6302,10203
7875,44871
566,12493
4860,21747
998,12979
6384,28546
2258,39100
9108,2144
5854,36270
3640,31527
8487,26482
9206,42117
9432,5498
1450,16704
5934,45290
5604,10093
2477,46967
9596,26089
9139,9999
9066,47106
9135,44531
742,7729
2975,35298
7744,20188
4838,39552
5343,43313
9456,17909
7854,19715
3124,13780
4609,43008
268,30790
499,47207
6345,25344
3740,17619
950,14137
301,17689
7181,5258
786,18934
7135,39698
6799,7510
8052,5556
6006,23252
3612,44881
4700,15476
2870,2124
1609,5551
7253,21444
3325,33152
2110,15083
3339,290
7718,8728
4543,28316
6286,48148
3847,45148
5167,28897
3444,49401
8443,29765
8298,40321
3645,4631
9942,25730
5447,45934
5027,30657
8283,6536
6347,1249
7057,7360
3586,18671
221,27969
7711,36175
4597,39430
8198,3109
8818,45094
9027,26982
3094,15223
5238,22977
3772,21180
5493,28026
600,10474
9558,30983
9624,37358
8093,13402
7165,32659
7082,45884
5821,20215
8457,29567
8059,41464
2665,38551
7463,24116
6604,38472
4863,44789
6190,11605
7430,13049
4632,8486
2208,41211
6177,17833
4049,8821
8552,34688
1853,10990
7655,36720
8765,29520
1734,1399
3124,45885
3178,17213
1860,37762
5863,37681
3714,20691
6434,24814
4765,43483
1732,2821
5952,1042
5117,5465
9592,8284
3053,32257
3503,47247
100,47745
2036,43781
7719,22269
116,4143
882,19525
740,34251
3786,40736
8582,41917
3977,47408
1736,18285
8050,49191
1608,28163
5745,11334
4102,35627
6115,22473
1511,44459
5763,27848
2751,14488
6892,7660
5513,45769
2777,28312
3737,26751
7531,25697
6861,25603
9678,43151
6133,9045
9354,36365
3513,17198
9755,5952
7343,17399
4369,12822
9164,16916
1464,40925
9078,44789
9180,13684
2480,4381
7035,32293
7253,22529
3913,16365
7646,12282
9985,27977
6893,49751
7376,6751
7195,864
724,31420
5882,29603
3205,9862
4065,5011
1049,5063
1992,30815
4032,13411
482,9866
754,25013
8557,32363
9335,42248
7886,42459
8758,5861
7486,12050
7493,40617
5339,40731
6769,12148
9606,41359
7375,8368
1196,12164
4150,44452
2097,43481
6602,34248
6516,2746
7598,21740
5936,18338
1286,17637
8610,23099
1085,8222
4984,21356
2028,29044
8182,15264
5542,4970
7200,12670
910,14362
6963,30015
6518,6407
3395,46141
3614,35062
1857,49543
579,34634
9127,4924
2483,17575
4657,10945
7915,34150
6662,35548
130,46559
6199,41588
2704,35883
709,8736
3018,14318
2975,29849
967,49159
5449,9160
1821,48396
6911,46510
9249,11367
9192,3054
6362,41408
9285,22467
7873,37184
6236,37021
7256,13659
4191,36445
225,17037
1307,15443
6564,16310
248,18865
5139,20218
7812,27907
4632,41250
3100,29945
7256,15978
8834,4318
4201,9456
8782,25378
1108,35913
1210,46832
6322,2448
7793,29952
4376,23284
485,27194
9611,36995
2732,45990
1332,24701
9726,40955
7842,23402
1631,887
3646,46122
9815,14164
8745,39717
9833,16117
8412,12991
3262,5779
5072,38576
8625,32123
5569,7437
453,32476
1150,24514
6640,33616
8726,32556
1083,46590
3738,6444
9313,14311
6572,38899
297,16316
9840,20877
2732,3939
1497,45424
9103,44050
5542,8307
9221,47196
4736,38652
9883,11263
8974,1695
5185,5048
4687,2760
6394,20129
7142,34016
8294,31617
6324,11895
4092,15643
2535,8664
8522,48381
1595,24022
8115,18149
3111,32495
2948,20096
9663,48952
5833,16794
4077,48330
4552,41957
7474,14093
7995,27139
5958,36886
9006,27735
6586,36487
6203,33654
798,12435
3159,17190
46,6396
561,39332
4614,6550
267,29093
419,29728
7035,33824
4030,48739
2124,9066
3419,19425
2690,30986
6743,21939
5485,38374
3601,16770
2088,37925
1560,12146
1657,4006
379,23477
9299,7521
1058,29746
1731,30097
3357,4177
5453,31359
6056,27899
1352,45590
3476,12165
2205,14940
5256,21093
8054,43631
7046,8584
7473,34411
1713,12450
6793,15293
9601,20985
4350,22824
7949,4241
1894,49715
2315,6172
1337,8133
1078,2280
5524,5971
8556,41441
7108,28097
5393,36527
7699,49935
1841,46102
366,40681
8323,45207
5698,42092
7161,24081
1110,21612
9385,20230
3949,2341
8906,45167
7917,17544
5204,3239
9656,33460
8669,15396
5936,33106
2797,3587
690,2348
3372,12962
4244,775
383,39145
800,33080
8952,7502
9847,34153
9662,1935
2165,24995
5423,32870
7915,44714
6328,33316
37,6866
3964,7948
1636,36550
1999,20403
3902,14329
149,23640
3421,10447
6777,24849
4830,25730
1798,49247
8952,640
1844,3679
9456,24592
7342,33982
7516,27449
9067,22588
1972,31150
2385,13685
6417,48192
4182,20502
7894,31735
2115,6978
7009,15684
3782,26904
3571,34295
8271,10404
1905,32867
8087,46212
5729,21382
8444,34188
3237,2478
5241,13241
2915,26733
3213,18316
