"ps_playlistid","ps_songid"
825,9138
313,3959
354,16620
160,4301
362,41422
443,7427
610,44513
202,15963
73,11756
357,31411
458,14351
301,33872
45,13176
745,16958
269,12090
198,3382
625,37018
125,42370
404,19567
955,36965
929,43951
250,3756
127,6711
109,29675
943,39742
576,11113
519,34093
224,16990
262,2167
767,3061
551,15569
419,17642
383,38431
130,14407
31,2719
862,29239
808,45518
292,10596
399,30455
879,1873
165,17084
360,44338
607,43015
305,5561
818,49347
376,24780
353,10179
61,13040
426,12849
163,24846
791,28089
770,39540
955,32602
918,39008
260,13052
40,29529
909,16401
596,16186
295,35972
208,7339
710,4431
924,34624
825,40022
443,46190
188,27446
762,3530
668,46422
402,21083
229,21848
397,46638
559,48383
798,10702
11,25453
899,1983
439,6137
13,18866
863,7092
553,15619
967,40235
368,33894
92,21069
254,44607
630,46034
555,34477
712,17660
903,1478
528,4225
70,43144
126,46321
914,849
326,36243
987,4196
40,18007
474,18657
47,11731
642,33198
622,25901
217,12110
41,10666
930,42298
984,8153
374,23581
651,10616
510,29663
284,34329
55,7807
727,26338
543,28906
435,43887
378,48718
297,36639
446,43014
307,49194
888,39188
214,14918
481,6241
186,12361
171,17351
496,30900
342,40244
813,9336
354,8999
980,22167
802,43288
106,13979
880,45834
522,21226
187,7730
786,23566
665,28340
11,5660
698,29639
357,44011
735,34540
500,44307
440,5846
886,46811
956,2767
858,29086
625,107
598,28631
530,6316
175,15210
205,27924
934,25357
642,29297
996,43656
55,25705
707,18360
444,38912
58,11824
949,11559
487,18331
655,39431
846,14620
624,2892
539,37157
313,41695
619,40323
833,44393
213,18215
959,23189
497,18312
523,20243
969,10320
458,15512
683,30581
142,33170
71,47259
502,22232
280,1764
820,5964
871,20808
42,16779
949,49818
901,21392
708,11670
553,2707
645,35599
590,32398
151,44869
222,44145
863,9029
571,33644
688,41260
872,42870
802,37713
578,8175
183,32072
150,45371
380,43883
687,18965
451,42268
40,28176
990,35991
624,44095
492,42762
711,22792
360,37078
332,13402
505,15960
603,29720
895,33018
70,7808
417,9382
298,37728
82,42325
161,15597
311,2965
495,19829
977,7468
527,10977
644,18432
17,40822
160,42634
725,8138
446,30265
410,26827
838,13481
401,19330
528,15767
485,32758
155,5294
652,22806
645,9828
653,24390
5,3283
514,20627
42,27049
309,44328
117,31772
836,1342
650,5498
77,16923
411,29810
316,19272
224,28517
219,17787
197,11363
571,8102
619,22768
86,39244
850,9332
721,36994
2,36417
430,14245
914,14338
724,522
866,22545
392,21250
244,1570
185,38337
846,45243
217,7395
529,16504
18,16538
738,45629
789,47649
389,44942
476,24714
94,33932
568,18757
220,19882
396,4825
397,49602
332,12310
282,29403
611,38113
910,29884
510,27365
721,16213
67,18935
194,14759
545,44419
201,28957
697,24121
944,47109
168,9238
409,24781
277,5357
365,25005
720,12842
157,18398
759,17331
231,48918
642,5241
508,515
808,44856
732,456
960,46162
557,11335
717,44437
389,8366
614,39117
315,28175
151,17049
867,35582
844,9575
839,24804
161,30516
390,18961
420,29547
587,37384
482,46514
833,47984
957,30873
198,31087
151,25442
309,1878
267,20125
154,10215
801,40608
648,12422
135,31065
898,10960
790,44614
940,24284
751,34028
558,17954
75,13992
437,31136
270,41761
742,28321
946,42098
91,46246
80,18500
21,12399
467,20750
292,21953
464,7320
788,13322
554,16147
246,5824
361,3100
762,4664
913,8222
292,37081
844,8966
527,41005
942,47986
842,26750
880,26780
84,11919
707,34201
198,13633
92,46767
487,3060
285,25455
488,15301
702,31393
224,23190
413,13412
973,13667
884,42685
830,10497
119,14725
668,6586
305,23670
295,6350
41,27275
454,35344
467,26922
984,28023
892,26155
132,11489
945,46017
395,17552
647,32190
860,27701
680,26309
982,4702
399,31306
296,29536
770,39696
95,4352
76,25134
512,4189
109,34129
330,27180
720,8587
780,30870
389,32416
315,42840
596,14851
144,30317
673,26862
217,33111
163,4236
725,22747
420,28946
660,39593
748,29070
580,15428
784,45302
569,33655
437,2559
585,47188
249,9791
964,25832
276,49933
221,45530
660,41390
808,47802
904,1779
342,45662
289,48963
238,26489
47,18053
391,38718
502,35875
504,5216
926,5872
701,47576
373,41033
910,35186
182,26638
799,25889
7,31108
695,46566
676,45607
199,41290
416,17982
629,17489
894,12245
925,47624
823,12777
196,21110
437,13919
634,37982
796,29389
782,10029
973,10265
912,46607
630,20686
542,39907
89,14649
410,15630
325,38592
750,45162
988,8892
10,41992
228,24902
274,5286
42,9248
886,33261
25,33730
573,35200
910,13512
396,39650
200,42811
663,46126
88,25707
823,47148
319,2131
752,47922
851,35534
259,38827
362,24909
891,7441
527,39095
145,22429
637,43770
135,9798
838,23492
412,35252
661,5418
548,13741
456,28467
455,19924
775,18444
435,41271
814,13962
913,9182
155,40002
725,4525
980,5677
156,39055
438,29617
677,46638
235,25628
588,8003
612,13357
249,13452
439,22867
501,12714
123,37683
489,19795
548,2139
535,27530
908,7594
721,14277
467,21369
381,24649
777,27658
776,25903
300,29216
604,21693
693,6448
48,6828
673,3871
923,36491
524,11168
266,8052
689,14952
862,6905
882,22436
832,9716
732,18943
743,16791
879,36390
15,557
960,40436
728,38849
21,15785
258,35395
162,1643
455,14520
621,41549
943,41483
591,34256
387,33783
805,8684
338,2205
66,32429
172,33220
994,13821
535,22574
83,23785
412,18608
15,30735
647,17261
744,49868
277,26282
888,8893
221,8970
688,38053
601,12249
408,33109
190,30016
588,1754
89,37081
817,12542
96,13011
72,19795
81,37067
546,8852
805,18725
375,22634
209,38262
335,47065
358,31040
485,41229
608,2200
681,43173
341,6772
286,44401
126,37536
305,519
640,25410
895,16244
162,13549
428,29208
76,15807
404,5837
146,46315
55,48933
789,3905
451,11289
283,5684
183,42155
410,36692
845,49015
637,12613
346,34188
506,48520
800,7268
277,10424
684,29761
604,4663
781,31625
916,16687
411,37381
19,41975
98,15465
894,38136
311,27541
491,13248
219,3662
939,20465
683,20625
269,39980
544,8552
227,18412
665,5324
420,37088
410,37647
244,45785
30,2214
502,39726
428,23655
986,7798
265,45081
413,24392
649,1434
95,33781
642,19112
563,13091
684,11654
150,14224
454,39991
564,42253
727,44875
86,36215
870,22862
280,31119
816,49949
146,2887
197,23055
811,26399
572,39494
239,33127
970,18903
68,48805
796,39009
14,27724
117,47244
543,32611
861,24526
874,14994
854,45523
110,36600
224,47431
892,44651
134,10065
716,26265
396,34465
29,33936
686,3670
766,31248
182,11146
790,38468
975,10588
281,8959
802,37005
99,48699
688,1361
810,38920
301,11298
955,30738
328,2026
271,42580
785,14487
179,2690
102,38266
569,5270
320,18308
561,47542
498,32210
628,13809
547,25743
55,28199
961,8107
563,39397
831,31405
601,18700
771,468
97,21077
950,26871
959,22253
428,9322
117,25551
191,1952
611,36578
897,34800
858,10547
875,4881
280,37616
727,49833
755,25632
122,21764
569,31875
960,7851
880,23145
410,18837
129,46992
91,1230
719,37983
125,4816
765,7120
947,36945
713,17909
958,9375
129,39801
131,45206
297,45155
703,17675
911,13565
123,24215
591,48434
655,43370
214,25219
199,40219
103,27668
212,415
608,16966
568,9802
639,48229
371,23791
863,34343
330,9462
493,33405
146,33654
586,12012
540,1714
560,7142
180,3255
155,13824
785,31961
612,36320
552,3537
695,40369
206,41260
142,44502
213,44255
433,15901
91,3976
758,49434
705,23919
634,40577
665,41882
126,25080
549,36018
256,38261
396,18080
313,33340
98,13491
313,11688
127,14032
76,12266
632,36081
717,24953
749,11611
904,5379
589,24204
166,9418
449,11288
