"s_songid","s_albumid","s_songname","s_genre","duration","s_times_played"
1,6394,"songName1","Reggae","06:00:00",0
4,6531,"songName4","Blues","06:00:00",0
5,1453,"songName5","Pop","07:00:00",0
6,6321,"songName6","Classical","07:00:00",0
7,4831,"songName7","Metal","07:00:00",0
8,742,"songName8","Classical","06:00:00",0
9,367,"songName9","Rock","05:00:00",0
10,1659,"songName10","Country","07:00:00",0
11,2621,"songName11","Hip Hop","07:00:00",0
12,1522,"songName12","Blues","07:00:00",0
13,5328,"songName13","Jazz","07:00:00",0
14,5665,"songName14","Hip Hop","07:00:00",0
15,7918,"songName15","Jazz","07:00:00",0
16,301,"songName16","Metal","05:00:00",0
17,5841,"songName17","Blues","06:00:00",0
18,6900,"songName18","Jazz","06:00:00",0
19,8068,"songName19","Hip Hop","05:00:00",0
20,5435,"songName20","Classical","07:00:00",0
21,1359,"songName21","Electronic","06:00:00",0
22,6040,"songName22","Reggae","06:00:00",0
23,3571,"songName23","Electronic","07:00:00",0
24,8854,"songName24","Reggae","05:00:00",0
25,2951,"songName25","Metal","06:00:00",0
26,3262,"songName26","Country","05:00:00",0
27,77,"songName27","Jazz","06:00:00",0
28,9181,"songName28","Pop","07:00:00",0
29,1063,"songName29","Metal","06:00:00",0
30,7840,"songName30","Metal","05:00:00",0
31,6099,"songName31","Classical","06:00:00",0
32,9851,"songName32","Classical","06:00:00",0
33,1105,"songName33","Pop","06:00:00",0
34,9499,"songName34","Hip Hop","05:00:00",0
35,3115,"songName35","Blues","07:00:00",0
36,2486,"songName36","Reggae","06:00:00",0
37,4261,"songName37","Metal","07:00:00",0
38,6078,"songName38","Blues","06:00:00",0
39,1899,"songName39","Electronic","05:00:00",0
40,8880,"songName40","Reggae","06:00:00",0
41,1363,"songName41","Jazz","07:00:00",0
42,4144,"songName42","Rock","06:00:00",0
43,6808,"songName43","Reggae","05:00:00",0
44,538,"songName44","Pop","06:00:00",0
45,4661,"songName45","Metal","05:00:00",0
46,3740,"songName46","Country","07:00:00",0
